"Date","Time","CO","NMHC","Benzene","NOx","NO2","Temp","RH","AH"
"10/03/2004","18:00:00",2.6,150,11.9,166,113,13.6,48.9,0.7578
"10/03/2004","19:00:00",2,112,9.4,103,92,13.3,47.7,0.7255
"10/03/2004","20:00:00",2.2,88,9,131,114,11.9,54,0.7502
"10/03/2004","21:00:00",2.2,80,9.2,172,122,11,60,0.7867
"10/03/2004","22:00:00",1.6,51,6.5,131,116,11.2,59.6,0.7888
"10/03/2004","23:00:00",1.2,38,4.7,89,96,11.2,59.2,0.7848
"11/03/2004","00:00:00",1.2,31,3.6,62,77,11.3,56.8,0.7603
"11/03/2004","01:00:00",1,31,3.3,62,76,10.7,60,0.7702
"11/03/2004","02:00:00",0.9,24,2.3,45,60,10.7,59.7,0.7648
"11/03/2004","05:00:00",0.7,8,1.1,16,28,11,56.2,0.7366
"11/03/2004","06:00:00",0.7,16,1.6,34,48,10.5,58.1,0.7353
"11/03/2004","07:00:00",1.1,29,3.2,98,82,10.2,59.6,0.7417
"11/03/2004","08:00:00",2,64,8,174,112,10.8,57.4,0.7408
"11/03/2004","09:00:00",2.2,87,9.5,129,101,10.5,60.6,0.7691
"11/03/2004","10:00:00",1.7,77,6.3,112,98,10.8,58.4,0.7552
"11/03/2004","11:00:00",1.5,43,5,95,92,10.5,57.9,0.7352
"11/03/2004","12:00:00",1.6,61,5.2,104,95,9.5,66.8,0.7951
"11/03/2004","13:00:00",1.9,63,7.3,146,112,8.3,76.4,0.8393
"11/03/2004","14:00:00",2.9,164,11.5,207,128,8,81.1,0.8736
"11/03/2004","15:00:00",2.2,79,8.8,184,126,8.3,79.8,0.8778
"11/03/2004","16:00:00",2.2,95,8.3,193,131,9.7,71.2,0.8569
"11/03/2004","17:00:00",2.9,150,11.2,243,135,9.8,67.6,0.8185
"11/03/2004","18:00:00",4.8,307,20.8,281,151,10.3,64.2,0.8065
"11/03/2004","19:00:00",6.9,461,27.4,383,172,9.7,69.3,0.8319
"11/03/2004","20:00:00",6.1,401,24,351,165,9.6,67.8,0.8133
"11/03/2004","21:00:00",3.9,197,12.8,240,136,9.1,64,0.7419
"11/03/2004","22:00:00",1.5,61,4.7,94,85,8.2,63.4,0.6905
"11/03/2004","23:00:00",1,26,2.6,47,53,8.2,60.8,0.6657
"12/03/2004","00:00:00",1.7,55,5.9,122,97,8.3,58.5,0.6438
"12/03/2004","01:00:00",1.9,53,6.4,133,110,7.7,59.7,0.6308
"12/03/2004","02:00:00",1.4,40,4.1,82,91,7.1,61.8,0.6276
"12/03/2004","05:00:00",0.6,7,1,30,44,6.3,65,0.6233
"12/03/2004","06:00:00",0.8,17,1.8,56,71,6.8,62.9,0.6234
"12/03/2004","07:00:00",1.4,33,4.4,109,104,6.4,65.1,0.6316
"12/03/2004","08:00:00",4.4,202,17.9,307,141,7.3,63.1,0.6499
"12/03/2004","10:00:00",3.1,208,14,187,122,13.2,41.7,0.632
"12/03/2004","11:00:00",2.7,166,11.6,216,143,14.3,38.4,0.6243
"12/03/2004","12:00:00",2.1,114,10.2,143,113,15,36.5,0.6195
"12/03/2004","13:00:00",2.5,140,11,160,116,16.1,34.5,0.6262
"12/03/2004","14:00:00",2.7,169,12.8,163,123,16.3,35.7,0.656
"12/03/2004","15:00:00",2.9,185,14.2,190,126,15.8,37,0.661
"12/03/2004","16:00:00",2.8,165,12.7,178,120,15.9,37.2,0.6657
"12/03/2004","17:00:00",2.4,133,11.7,150,119,16.9,34.3,0.6549
"12/03/2004","18:00:00",3.9,233,19.3,206,149,15.1,39.6,0.6766
"12/03/2004","19:00:00",3.7,242,18.2,202,145,14.4,43.4,0.7084
"12/03/2004","20:00:00",6.6,488,32.6,340,170,12.9,50.5,0.7478
"12/03/2004","21:00:00",4.4,333,20.1,274,149,12.1,53.3,0.7536
"12/03/2004","22:00:00",3.5,215,14.3,253,139,11,59.1,0.774
"12/03/2004","23:00:00",5.4,367,21.8,300,134,9.7,64.6,0.7771
"13/03/2004","00:00:00",2.7,122,9.6,193,113,9.5,64.1,0.7597
"13/03/2004","01:00:00",1.9,67,7.4,139,97,9.1,63.9,0.7423
"13/03/2004","02:00:00",1.6,43,5.4,83,82,8.8,63.9,0.7256
"13/03/2004","05:00:00",1,30,2.6,62,65,8.3,63.6,0.6982
"13/03/2004","06:00:00",1.2,27,2.9,53,60,7.2,67.5,0.6887
"13/03/2004","07:00:00",1.5,47,5.1,139,77,6.3,71.9,0.6932
"13/03/2004","08:00:00",2.7,132,11.8,256,96,6.5,71.6,0.6945
"13/03/2004","09:00:00",3.7,239,15.1,295,119,9.6,59.7,0.7124
"13/03/2004","10:00:00",3.2,160,12.9,250,126,12.4,51.2,0.7335
"13/03/2004","11:00:00",4.1,283,16.1,296,158,15.6,42.2,0.7451
"13/03/2004","12:00:00",3.6,210,14,239,161,18.4,33.8,0.709
"13/03/2004","13:00:00",2.8,154,12.3,153,124,19.4,31.3,0.695
"13/03/2004","14:00:00",2,112,8.6,118,102,18,34.8,0.7127
"13/03/2004","15:00:00",2,108,9.2,119,116,18.4,33.6,0.7042
"13/03/2004","16:00:00",2.5,111,10.2,138,124,17.6,35.1,0.7012
"13/03/2004","17:00:00",2.3,97,10.6,148,125,16.7,37.8,0.7117
"13/03/2004","18:00:00",3.2,191,15.5,227,148,16.1,41,0.7451
"13/03/2004","19:00:00",4.2,258,19.6,277,165,15.8,42.4,0.7569
"13/03/2004","20:00:00",4.2,284,19.2,279,161,15.7,44.1,0.7786
"13/03/2004","21:00:00",4.2,269,18.3,283,159,15.3,46.8,0.8091
"13/03/2004","22:00:00",3.1,180,13.1,214,143,14.6,48.6,0.806
"13/03/2004","23:00:00",2.6,116,10.9,172,130,14.7,49.3,0.8193
"14/03/2004","00:00:00",2.9,93,11,190,129,13.9,53.6,0.8498
"14/03/2004","01:00:00",2.8,131,11.9,174,119,14.6,51.5,0.8536
"14/03/2004","02:00:00",2.5,92,8.6,128,104,12.5,58.9,0.8537
"14/03/2004","05:00:00",1.2,32,3.7,53,70,11.5,63.1,0.8533
"14/03/2004","06:00:00",1,29,2.5,44,63,11.6,62.2,0.8473
"14/03/2004","07:00:00",0.9,27,2.4,74,67,10.4,67.6,0.853
"14/03/2004","08:00:00",1.4,36,4.2,101,84,11.6,62.7,0.853
"14/03/2004","09:00:00",1.6,57,6.4,118,83,12.4,60,0.8627
"14/03/2004","10:00:00",2.2,129,8.6,144,98,14.5,53.1,0.8728
"14/03/2004","11:00:00",2.8,148,10.9,176,114,16.9,46.1,0.8789
"14/03/2004","12:00:00",2.8,145,10.7,161,119,19.3,38.3,0.8474
"14/03/2004","13:00:00",2,93,7.5,113,104,21.2,31.4,0.7812
"14/03/2004","14:00:00",1.8,84,7.5,103,102,21.4,30.2,0.7616
"14/03/2004","15:00:00",1.9,99,8.2,112,107,21.9,29,0.7525
"14/03/2004","16:00:00",3,150,11.9,170,129,22.2,28.4,0.7516
"14/03/2004","17:00:00",2.9,156,12,180,128,21.3,30.8,0.7696
"14/03/2004","18:00:00",2.5,122,12.2,160,121,19.7,36.7,0.8307
"14/03/2004","19:00:00",4.6,262,20.6,261,157,18.4,41.7,0.8732
"14/03/2004","20:00:00",5.9,341,23.1,325,173,17.6,46.1,0.921
"14/03/2004","21:00:00",3.4,214,14.7,217,146,16.7,49.6,0.932
"14/03/2004","22:00:00",2.1,100,9,146,121,16.3,51,0.9341
"14/03/2004","23:00:00",2.2,79,8.8,152,119,14.7,55.9,0.9314
"15/03/2004","00:00:00",1.8,66,7.4,104,99,14.8,54.7,0.9164
"15/03/2004","01:00:00",1.8,73,6.9,106,93,14,57,0.9094
"15/03/2004","02:00:00",1.8,66,7,108,88,13.4,61.3,0.9361
"15/03/2004","05:00:00",1,39,3.9,88,74,11.9,67.4,0.9375
"15/03/2004","06:00:00",1.4,51,6.4,138,80,11.4,70.5,0.9475
"15/03/2004","07:00:00",2.2,107,9.7,228,89,11.3,70.2,0.9401
"15/03/2004","08:00:00",5.5,336,25.9,360,114,12.4,63.9,0.917
"15/03/2004","09:00:00",8.1,618,36.7,478,149,14.8,54.3,0.9076
"15/03/2004","10:00:00",5.8,438,26.6,394,157,17.4,45.6,0.8993
"15/03/2004","11:00:00",4.2,334,20.1,319,155,19.8,38.5,0.8801
"15/03/2004","12:00:00",3.1,221,14.1,201,134,22,34.1,0.8904
"15/03/2004","13:00:00",2.9,207,14.9,171,119,23.3,32.2,0.9096
"15/03/2004","14:00:00",2.9,191,15.4,159,111,23.9,30,0.8757
"15/03/2004","15:00:00",2.5,185,12.1,153,104,24.4,28.9,0.8736
"15/03/2004","16:00:00",2.3,141,11.5,143,99,24.4,29.4,0.8848
"15/03/2004","17:00:00",2.8,214,14.8,156,110,23.8,31.3,0.9137
"15/03/2004","18:00:00",6.1,471,32.1,314,162,22.5,35.4,0.9547
"15/03/2004","19:00:00",8,685,39.2,404,187,20.4,42.5,1.0086
"15/03/2004","20:00:00",6.5,538,31,320,165,18.3,52.6,1.0945
"15/03/2004","21:00:00",4.2,319,19.9,256,145,16.7,57.4,1.0786
"15/03/2004","22:00:00",3.2,224,15.3,193,125,15.7,60.2,1.0654
"15/03/2004","23:00:00",1.4,67,6.9,89,101,15.3,61.4,1.058
"16/03/2004","00:00:00",2.1,155,11.1,127,103,14.1,65.7,1.0494
"16/03/2004","01:00:00",1.2,49,5.4,79,88,14.8,60.6,1.0148
"16/03/2004","02:00:00",0.8,29,2.8,43,61,14.8,59.2,0.9879
"16/03/2004","05:00:00",0.6,17,2,38,52,12.8,63.2,0.9283
"16/03/2004","06:00:00",0.9,27,3.5,82,64,11.2,68.5,0.9081
"16/03/2004","07:00:00",1.3,50,5.1,99,70,11,66.5,0.8705
"16/03/2004","08:00:00",3.4,218,16.2,263,97,11.7,63.7,0.8719
"16/03/2004","09:00:00",3.7,285,19.7,229,95,13.6,56.3,0.8743
"16/03/2004","10:00:00",5.3,437,25.1,396,150,17.8,42.9,0.8672
"16/03/2004","11:00:00",4.1,327,20,314,162,21.4,33.3,0.8417
"16/03/2004","12:00:00",3.3,283,18.3,217,154,24.4,27.4,0.8231
"16/03/2004","13:00:00",4,366,22.3,252,161,25.3,26.1,0.8264
"16/03/2004","14:00:00",3.8,318,20.4,263,161,25.8,23.2,0.7589
"16/03/2004","15:00:00",2.8,228,14.6,180,128,27,20.2,0.7094
"16/03/2004","16:00:00",2.9,201,16.6,184,129,28.2,18.6,0.7014
"16/03/2004","17:00:00",2.9,199,15.8,190,133,28,19.1,0.7098
"16/03/2004","18:00:00",3.4,237,17.8,184,139,23.9,25.7,0.7519
"16/03/2004","19:00:00",3.9,261,19.1,181,137,21.3,34.8,0.873
"16/03/2004","20:00:00",3.2,230,15.8,166,143,20.4,36.7,0.8704
"16/03/2004","21:00:00",5.1,349,24.9,317,177,19,41.3,0.9007
"16/03/2004","22:00:00",2.6,183,13.5,184,138,17.9,45.9,0.9342
"16/03/2004","23:00:00",1.7,88,9.1,130,117,16.7,48.9,0.9226
"17/03/2004","00:00:00",1.7,85,8.6,132,107,15.5,52.9,0.9271
"17/03/2004","01:00:00",1.2,47,5.4,95,90,15.5,51.9,0.9059
"17/03/2004","02:00:00",0.9,34,4.1,70,79,14.1,55.6,0.891
"17/03/2004","05:00:00",0.5,11,1.6,28,40,11.8,58,0.8026
"17/03/2004","06:00:00",0.5,18,1.9,46,53,11.9,57.4,0.7978
"17/03/2004","07:00:00",1.6,84,7.5,160,84,9.9,65.2,0.7956
"17/03/2004","08:00:00",4.1,260,21.4,320,108,11.1,60.2,0.7958
"17/03/2004","09:00:00",6.6,534,36.4,377,127,14.1,50,0.802
"17/03/2004","10:00:00",4.3,368,21.3,280,134,17.7,40.1,0.8048
"17/03/2004","11:00:00",2.9,200,15.4,221,135,21.1,33.4,0.8265
"17/03/2004","12:00:00",2.5,145,12.5,210,142,24.3,28.3,0.8471
"17/03/2004","13:00:00",2.8,188,15.1,204,153,25.6,25.6,0.8254
"17/03/2004","14:00:00",2.6,152,13.7,161,123,25.9,25.9,0.8503
"17/03/2004","15:00:00",2,103,10.4,135,104,26.8,18.7,0.65
"17/03/2004","16:00:00",2.9,193,15.2,186,129,29.3,15.8,0.6309
"17/03/2004","17:00:00",2.5,134,12.3,147,114,28.5,14.9,0.5708
"17/03/2004","18:00:00",5,386,27,299,158,25.9,16,0.5237
"17/03/2004","19:00:00",7.6,577,38.4,411,194,23.1,26.5,0.7403
"17/03/2004","20:00:00",6.7,523,35.1,347,182,20.5,38.2,0.9133
"17/03/2004","21:00:00",5.7,472,27.2,336,180,19.1,42.6,0.9294
"17/03/2004","22:00:00",2.8,206,15,202,136,17.2,44.1,0.8558
"17/03/2004","23:00:00",2.6,216,15.7,178,127,16,50.9,0.9206
"18/03/2004","00:00:00",2.3,159,13,154,116,14.8,53.9,0.9024
"18/03/2004","01:00:00",1.4,70,8.1,92,107,14.3,55.4,0.8975
"18/03/2004","02:00:00",1,44,5.5,61,88,14.8,52.1,0.8686
"18/03/2004","05:00:00",0.6,20,2.5,37,57,12,58.9,0.8233
"18/03/2004","06:00:00",0.7,26,3,68,71,10.9,62.1,0.8113
"18/03/2004","07:00:00",1.5,78,7.7,139,85,10.6,63.3,0.8067
"18/03/2004","08:00:00",4.7,319,23.3,339,124,11.5,60,0.8117
"18/03/2004","09:00:00",6.6,506,35.8,421,151,14.3,50.6,0.8186
"22/03/2004","16:00:00",2.3,451,11.6,150,101,21.3,24.2,0.606
"22/03/2004","17:00:00",2.6,185,12.4,138,103,20.2,28.5,0.6682
"22/03/2004","18:00:00",3.8,426,18.3,213,129,17,43.1,0.8264
"22/03/2004","19:00:00",4.4,672,21,232,143,15.6,47.4,0.8347
"22/03/2004","20:00:00",4.5,624,21,238,146,15.3,47.4,0.8178
"22/03/2004","21:00:00",3.3,325,14.5,180,124,14.5,49.7,0.8177
"22/03/2004","22:00:00",2,143,8.4,128,113,13.9,52,0.8231
"22/03/2004","23:00:00",1.1,89,4.3,65,80,14.5,49.4,0.8106
"23/03/2004","00:00:00",0.9,73,3.8,53,72,13.8,51.4,0.8071
"23/03/2004","01:00:00",0.8,48,2.7,47,64,14,51.3,0.8163
"23/03/2004","02:00:00",0.7,47,2.5,51,70,13,56.8,0.8444
"23/03/2004","05:00:00",0.3,19,0.6,13,22,8.8,80.5,0.9147
"23/03/2004","06:00:00",0.5,26,1.8,33,47,9.6,75.4,0.9004
"23/03/2004","07:00:00",1.1,60,4.6,103,88,9.8,75,0.9093
"23/03/2004","08:00:00",3,248,14.2,224,130,10,74.2,0.9117
"23/03/2004","09:00:00",3.8,535,21,244,132,11.2,69.7,0.9232
"23/03/2004","10:00:00",3.4,340,16.2,237,132,12,62.9,0.8803
"23/03/2004","11:00:00",3,325,15.5,220,131,12.8,55.8,0.821
"23/03/2004","12:00:00",2.7,267,13.4,207,129,13.1,54.8,0.8234
"23/03/2004","13:00:00",3.5,325,16.9,208,132,13.8,53.4,0.8351
"23/03/2004","14:00:00",2.8,268,12.4,160,110,16,42.4,0.7674
"23/03/2004","15:00:00",1.9,136,10.1,131,99,14.1,49.8,0.7971
"23/03/2004","16:00:00",2,118,8.7,128,100,12,61.1,0.8537
"23/03/2004","17:00:00",3,276,13.8,176,122,13.6,54.6,0.8465
"23/03/2004","18:00:00",1.9,151,9.3,107,97,13.7,49.5,0.7695
"23/03/2004","19:00:00",2.7,236,13,131,112,11.7,57.1,0.7822
"23/03/2004","20:00:00",3.3,220,14.3,166,128,11.5,58.2,0.7867
"23/03/2004","21:00:00",1.7,87,7.6,89,101,12.6,54.2,0.7881
"23/03/2004","22:00:00",1.3,81,5.3,81,96,12,54.9,0.7664
"23/03/2004","23:00:00",1.3,74,5.4,78,86,11,61.4,0.8057
"24/03/2004","00:00:00",1.2,55,4.9,70,85,11.1,62.2,0.8199
"24/03/2004","01:00:00",1.1,74,4.6,76,79,10.8,62.5,0.8082
"24/03/2004","02:00:00",0.9,35,2.7,43,61,11.3,60,0.8025
"24/03/2004","05:00:00",0.6,20,1.2,34,54,10.9,58.6,0.7628
"24/03/2004","06:00:00",0.8,32,1.7,43,57,10.8,57.2,0.7382
"24/03/2004","07:00:00",1.2,84,4.8,79,75,10.4,59.2,0.7455
"24/03/2004","08:00:00",3.1,245,13.8,174,97,11,57.3,0.7501
"24/03/2004","09:00:00",4.4,553,23.7,235,110,11.2,56.9,0.7565
"24/03/2004","10:00:00",3.4,450,14.2,218,113,12.1,54.9,0.7734
"24/03/2004","11:00:00",1.7,118,8,136,88,15.1,44.3,0.7535
"24/03/2004","12:00:00",1.5,118,6.7,117,85,15.6,40.6,0.7146
"24/03/2004","13:00:00",1.7,144,8.7,119,96,16.9,34.6,0.6597
"24/03/2004","14:00:00",2.2,159,10.8,126,106,16.6,35.6,0.6697
"24/03/2004","16:00:00",2.7,230,11.4,197,126,9.6,81.1,0.972
"24/03/2004","17:00:00",2.8,320,13.4,195,130,11.7,69.1,0.9497
"24/03/2004","18:00:00",2.7,263,12,156,111,10.7,68.5,0.8794
"24/03/2004","19:00:00",4.5,556,20.2,247,134,10.7,67.3,0.8643
"24/03/2004","20:00:00",3.5,458,14.4,190,136,10.8,65.7,0.8486
"24/03/2004","21:00:00",2.6,214,9.4,169,125,10.3,66.3,0.8336
"24/03/2004","22:00:00",1.7,97,5.9,118,108,10.1,66.9,0.8248
"24/03/2004","23:00:00",1.3,79,4.5,81,87,10.4,61.1,0.7717
"25/03/2004","00:00:00",1.3,81,4.5,80,89,10.3,59.9,0.7516
"25/03/2004","01:00:00",1,52,2.5,42,58,11,58.4,0.7686
"25/03/2004","02:00:00",0.7,38,1.8,38,54,9.1,68.1,0.789
"25/03/2004","04:00:00",0.5,29,0.9,18,28,9.3,72.3,0.8496
"25/03/2004","05:00:00",0.5,21,0.6,12,20,9.9,66.8,0.8152
"25/03/2004","06:00:00",0.6,46,1.4,43,51,7.6,83.2,0.8695
"25/03/2004","07:00:00",1.1,55,3.8,84,82,8.1,79,0.8544
"25/03/2004","08:00:00",2.7,271,11.6,184,112,8.7,74.6,0.8429
"25/03/2004","09:00:00",3.5,434,17.8,202,119,8.6,75.1,0.8415
"25/03/2004","10:00:00",2.3,300,8.8,133,99,9.7,69.7,0.8389
"25/03/2004","11:00:00",1.6,116,6.8,130,98,11,64.4,0.8447
"25/03/2004","12:00:00",1.3,95,5.9,106,88,13.6,53,0.8209
"25/03/2004","13:00:00",2,211,8.9,132,96,14.2,48.4,0.778
"25/03/2004","14:00:00",1.9,168,8.2,106,81,14.2,46.3,0.7438
"25/03/2004","15:00:00",1.9,154,8.6,125,92,16,41.3,0.7462
"25/03/2004","16:00:00",2.2,267,10.1,138,105,17.7,35.4,0.7094
"25/03/2004","17:00:00",2,143,9.4,120,88,17.1,37.4,0.7225
"25/03/2004","18:00:00",2.9,374,14.6,158,103,14.9,40.5,0.6835
"25/03/2004","19:00:00",5.2,797,24.6,253,141,13.4,47.8,0.7293
"25/03/2004","20:00:00",4.6,698,21.6,231,133,12.6,52.5,0.7642
"25/03/2004","21:00:00",2.5,234,10.3,150,119,12.2,53.2,0.7555
"25/03/2004","22:00:00",1.5,104,5.7,99,106,10.6,56.1,0.714
"25/03/2004","23:00:00",1.2,67,4.5,75,92,9.9,59.5,0.7276
"26/03/2004","00:00:00",1.7,88,5.5,93,97,9.6,61.1,0.7323
"26/03/2004","01:00:00",1.4,79,4.8,79,91,9.7,61.6,0.7425
"26/03/2004","02:00:00",1.2,61,3.6,67,83,9.4,62.6,0.7398
"26/03/2004","04:00:00",0.7,40,2.2,45,59,8,69.4,0.7459
"26/03/2004","05:00:00",0.8,52,3,72,73,7.7,72.4,0.7655
"26/03/2004","06:00:00",0.9,64,4,103,78,8,71.8,0.7711
"26/03/2004","07:00:00",1.6,88,6.7,132,90,8.5,66.3,0.7375
"26/03/2004","08:00:00",3.4,375,16.7,239,110,9.8,59.6,0.7214
"26/03/2004","09:00:00",3.8,592,19.3,275,114,11.2,57,0.7544
"26/03/2004","10:00:00",3.1,357,14.8,232,119,14.8,44.1,0.7407
"26/03/2004","11:00:00",2.7,296,13.4,180,121,16.8,35.3,0.6729
"26/03/2004","12:00:00",2,181,11,112,97,19.2,27.1,0.5976
"26/03/2004","13:00:00",2.3,211,12.5,116,99,19.1,26.2,0.5741
"26/03/2004","14:00:00",1.9,199,8.4,103,85,16.3,30.8,0.5683
"26/03/2004","15:00:00",1.3,81,5.3,89,75,14.2,36.8,0.5922
"26/03/2004","16:00:00",1.9,143,8.8,112,87,13.4,41,0.6292
"26/03/2004","17:00:00",2.3,247,11.2,127,102,14.2,43.3,0.6982
"26/03/2004","18:00:00",2.4,239,11.6,125,105,12.1,45.6,0.6403
"26/03/2004","19:00:00",2.7,267,12.4,120,98,10.4,48,0.6046
"26/03/2004","20:00:00",2.6,261,10.6,120,93,10,51.1,0.628
"26/03/2004","21:00:00",1.5,97,6,99,91,9.8,50.8,0.6172
"26/03/2004","22:00:00",1.2,66,4.6,79,85,9.7,50.4,0.6063
"26/03/2004","23:00:00",1.1,60,4.1,66,74,9.9,50.2,0.6103
"27/03/2004","00:00:00",1.5,77,5.2,94,87,9.4,53.4,0.63
"27/03/2004","01:00:00",1,57,3.2,70,79,8.6,57.8,0.6488
"27/03/2004","02:00:00",1.2,65,4.5,75,78,8.1,62.1,0.6746
"27/03/2004","05:00:00",0.8,27,1.9,32,48,8.2,58.9,0.6444
"27/03/2004","06:00:00",0.9,25,2.4,54,59,6.3,66.6,0.641
"27/03/2004","07:00:00",1.1,42,3.3,68,65,7.2,62.9,0.6396
"27/03/2004","08:00:00",1.5,78,6.7,98,71,7.2,63.9,0.65
"27/03/2004","09:00:00",1.8,128,8.5,128,84,11.1,50.5,0.6654
"27/03/2004","10:00:00",2.1,184,9.7,129,93,15.5,36.1,0.6313
"27/03/2004","11:00:00",2.1,156,9.4,130,99,17.8,29.2,0.592
